year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2023.0,1.896,45.34,12.84,9.55,12.26,25.0,18.88,16.78,1.875,1.172,0.892,0.471,2.527,34.405,34.6,2.05,14.095,3.213,7.383,4.68,0.1,-17.01,0.354
2015.0,1.29,9.45,-4.64,-2.91,-2.37,5.85,-3.77,-36.96,3.045,0.821,1.661,0.624,7.594,-9.709,-113.04,6.7,16.281,0.974,0.042,0.5,2.22,-46.1,0.009
2013.0,1.45,14.66,14.66,7.16,3.19,20.69,3.3,0.45,2.433,0.488,1.075,0.518,2.726,8.563,96.77,3.37,10.308,1.951,2.567,0.5,1.79,-2.68,0.162
2011.0,2.033,47.07,10.13,6.62,10.35,24.52,16.55,21.55,2.592,1.498,1.353,0.575,3.089,14.79,63.89,4.11,14.879,3.473,4.475,0.5,1.15,37.93,0.28
2021.0,8.832,94.29,94.29,95.42,19.63,21.93,20.05,455.43,0.188,0.188,0.128,0.113,0.62,40.064,20.01,3.04,5.998,1.214,2.575,0.11,8.68,64.08,-139.5
2021.0,1.014,12.24,12.24,9.01,6.43,16.38,18.5,1.27,2.214,0.719,2.539,0.717,7.774,11.597,45.47,4.46,14.843,2.271,2.575,0.11,8.68,64.08,0.582
2009.0,0.538,5.48,3.51,1.53,2.87,8.27,5.83,6.02,12.045,1.885,1.293,0.564,5.267,4.362,79.52,3.97,14.252,1.254,2.183,0.64,-4.62,-36.39,0.021
2018.0,1.45,57.37,25.99,22.02,9.77,31.17,12.37,5.41,1.586,0.471,1.788,0.641,3.894,5.322,53.66,2.43,22.085,6.75,2.483,0.6,1.4,30.58,0.458
2007.0,1.194,46.36,16.8,79.97,52.77,9.24,15.22,-0.89,2.077,0.778,2.076,0.675,4.214,6.28,10.8,4.52,2.336,4.468,2.342,5.51,2.62,9.68,0.167
2004.0,1.472,73.18,19.86,11.05,9.98,30.5,21.43,5.95,2.054,0.858,1.168,0.539,2.466,16.533,34.41,0.51,66.307,13.631,1.35,4.39,2.43,33.32,0.283
